clause_id,policy_id,policy_number,insurance_type,section_type,page_number,clause_text
vc-001,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,3,"Own damage cover reimburses loss or damage to the insured vehicle caused by accident, fire, self-ignition, lightning, explosion, theft, riot, strike, or natural calamities including flood and cyclone."
vc-002,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,9,Damage when the vehicle is driven by a person not holding a valid and effective driving licence at the time of the incident is not covered under this policy.
vc-003,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,10,Damage caused due to driving under the influence of alcohol or drugs is completely excluded from coverage.
vc-004,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,12,"A compulsory deductible of INR 1,000 for private cars and INR 2,500 for commercial vehicles applies to every own-damage claim."
vc-005,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,5,"In case of total loss or constructive total loss, the settlement shall be based on the Insured Declared Value (IDV) at the time of policy inception, less the applicable depreciation and compulsory deductible."
vc-006,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,6,"Depreciation schedule: Rubber/nylon/plastic parts 50%; fibre glass 30%; glass parts nil; all other parts for vehicles less than 6 months old nil, 6-12 months 5%, 1-2 years 10%, 2-3 years 15%."
vc-007,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,11,"Mechanical or electrical breakdown, failure, or breakage is not covered under this policy. Tyre bursts and tyre damage are covered at 50% of replacement cost."
vc-008,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,7,"Third party liability cover is mandatory under the Motor Vehicles Act 1988. Unlimited liability for third party bodily injury and death. INR 7,50,000 for third party property damage per incident."
vc-009,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,13,"Towing charges in the event of an accident or breakdown are reimbursable up to INR 1,500 for private cars and INR 2,000 for commercial vehicles per incident."
vc-010,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,12,Damage to or loss of accessories by theft without concurrent theft of the vehicle itself is not covered unless accessories are specifically endorsed and the vehicle is comprehensively insured.
vc-011,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,8,"Personal accident cover of INR 15,00,000 for the owner-driver is mandatory as per IRDAI guidelines. Additional PA cover for co-passengers up to INR 2,00,000 per person is available as an add-on."
vc-012,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,13,"Consequential loss, depreciation, wear and tear, and mechanical breakdown are excluded. Loss due to war, nuclear risks, and confiscation by authorities is also excluded."
vc-013,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,9,The insured must file a First Information Report (FIR) with the police within 24 hours of theft. Non-filing of FIR will render the theft claim inadmissible.
vc-014,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,14,Garage cash benefit: INR 500 per day for up to 14 days if the vehicle is under authorised workshop repair following an own-damage claim. Available only for policies with this add-on.
vc-015,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,14,"Damage to the vehicle when used for racing, speed testing, pace-making, or for hire and reward purposes other than as endorsed on the certificate of insurance is excluded."
vc-016,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,10,"Zero depreciation cover (Nil depreciation endorsement) when opted, entitles the insured to receive full cost of replacement parts without any depreciation deduction, except for tyres and batteries."
vc-017,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,11,"Return to invoice cover when opted: in case of total loss or theft, the claim is settled at the original invoice value of the vehicle including registration, road tax, and insurance charges."
vc-018,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,15,Engine damage due to water ingression in areas with standing water where the driver chose to drive despite visible flooding is excluded unless hydrostatic lock cover is specifically endorsed.
vc-019,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,15,"Key replacement cover reimburses up to INR 10,000 for duplicate key fabrication and lock replacement when the vehicle keys are lost, stolen, or damaged."
vc-020,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,12,"No Claim Bonus (NCB) of 20% for 1 claim-free year, 25% for 2 years, 35% for 3 years, 45% for 4 years, and 50% for 5 or more consecutive claim-free years applies on own damage premium."
vc-021,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,16,Loss or damage to the insured vehicle if it is used or driven beyond the geographical limits specified in the policy certificate is excluded from coverage.
vc-022,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,13,"Roadside assistance cover (24x7) includes emergency towing, flat tyre assistance, fuel delivery, battery jump-start, and locksmith services within 50 km of any major city or highway."
vc-023,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,16,"Consumable expenses cover reimburses cost of nuts, bolts, engine oil, brake fluid, and other consumable items consumed during authorised repairs following an own-damage claim."
vc-024,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,14,All accidental claims must be reported to the insurer within 24 hours of the incident. Repair work should not commence before a surveyor's inspection unless the vehicle poses a safety hazard.
vc-025,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,17,Damage to the vehicle when loaded beyond its permitted carrying capacity as per the vehicle registration certificate is excluded from own damage coverage.
vc-026,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,15,"Commercial vehicle owner liability: The insured owner is entitled to legal defence cost reimbursement up to INR 50,000 per incident for defence against third party bodily injury or death claims."
vc-027,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,17,"Cost of hiring a replacement vehicle (rent-a-car benefit) of up to INR 1,500 per day for a maximum of 15 days is available during the period the insured vehicle is under authorised repair."
vc-028,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,18,"Loss or damage arising from confiscation, detention, destruction, or requisition by any government or public authority is excluded from coverage."
vc-029,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,16,"Electric vehicles: Battery pack replacement due to accidental damage is covered up to INR 2,00,000 per incident. Gradual capacity degradation is excluded. Charging equipment theft is covered up to INR 20,000."
vc-030,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,18,"PA cover for unnamed passengers: In case of accidental death or permanent total disability of any passenger, INR 1,00,000 per person is payable, subject to vehicle seating capacity and the named driver provision."
vc-031,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,17,"The insured may select any IRDAI-authorised garage for repairs. However, cash settlement without garage repair is available only for minor damages below INR 5,000 after surveyor assessment."
vc-032,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,19,Damage or loss when the insured vehicle is left unattended with keys inside is excluded from theft coverage.
vc-033,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,19,Comprehensive repair at a manufacturer-authorised dealer attracts no depreciation on parts for vehicles up to 5 years old under the assured repair network programme.
vc-034,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,18,Flood damage to the engine and transmission requires that the driver attempted to start the vehicle after visible water ingress to constitute valid claim. Photographs of the flood level must be submitted.
vc-035,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,20,Damage caused by a driver who is below the minimum age of 18 years or does not hold a valid learner's licence when driving without a licensed supervisor is excluded.
vc-036,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,19,"Spot settlement for own damage claims up to INR 25,000 is available through the insurer's app following upload of minimum 5 photographs of the damage with geo-tag and timestamp."
vc-037,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,20,"Alloy wheel damage due to pothole impact or road hazard is covered under the wheel protection add-on up to INR 5,000 per wheel and INR 20,000 per policy year."
vc-038,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,20,"For commercial vehicles including goods carriers, own damage cover extends to loss of goods in transit due to vehicle accident, subject to submission of goods receipt and delivery challan."
vc-039,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,21,Damage to CNG or LPG kits and cylinders is excluded unless the kit is certified by an authorised workshop and the endorsement for CNG or LPG vehicle has been made on the policy.
vc-040,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,21,The insured must cooperate with the investigator appointed by the insurer. Non-cooperation or submission of false information will render the claim void and may result in policy cancellation.
